Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0,10,00:00:00.417,0.417,10,00:00:00.417,0.417
2,10,00:00:00.417,0.417,122,00:00:05.088,5.088,112,00:00:04.671,4.671
3,122,00:00:05.088,5.088,186,00:00:07.758,7.758,64,00:00:02.669,2.669
4,186,00:00:07.758,7.758,259,00:00:10.802,10.802,73,00:00:03.045,3.045
5,259,00:00:10.802,10.802,274,00:00:11.428,11.428,15,00:00:00.626,0.626
6,274,00:00:11.428,11.428,322,00:00:13.430,13.43,48,00:00:02.002,2.002
7,322,00:00:13.430,13.43,403,00:00:16.808,16.808,81,00:00:03.378,3.378
8,403,00:00:16.808,16.808,452,00:00:18.852,18.852,49,00:00:02.044,2.044
9,452,00:00:18.852,18.852,537,00:00:22.397,22.397,85,00:00:03.545,3.545
10,537,00:00:22.397,22.397,558,00:00:23.273,23.273,21,00:00:00.876,0.876
11,558,00:00:23.273,23.273,602,00:00:25.108,25.108,44,00:00:01.835,1.835
12,602,00:00:25.108,25.108,714,00:00:29.780,29.78,112,00:00:04.671,4.671
13,714,00:00:29.780,29.78,744,00:00:31.031,31.031,30,00:00:01.251,1.251
14,744,00:00:31.031,31.031,773,00:00:32.241,32.241,29,00:00:01.210,1.21
15,773,00:00:32.241,32.241,790,00:00:32.950,32.95,17,00:00:00.709,0.709
16,790,00:00:32.950,32.95,901,00:00:37.579,37.579,111,00:00:04.630,4.63
17,901,00:00:37.579,37.579,963,00:00:40.165,40.165,62,00:00:02.586,2.586
18,963,00:00:40.165,40.165,1013,00:00:42.251,42.251,50,00:00:02.085,2.085
19,1013,00:00:42.251,42.251,1075,00:00:44.836,44.836,62,00:00:02.586,2.586
20,1075,00:00:44.836,44.836,1116,00:00:46.546,46.546,41,00:00:01.710,1.71
