Timecode List:,00:00:12.920,00:00:21.720,00:00:27.920,00:00:31.840,00:00:34.760,00:00:37.040,00:00:39.560,00:00:45.240,00:00:50.000,00:00:55.000,00:00:58.040,00:01:04.920,00:01:11.880,00:01:19.040,00:01:24.600,00:01:31.320,00:01:35.840,00:01:38.760,00:01:41.760,00:01:45.120,00:01:48.360,00:01:51.120,00:01:53.600,00:01:57.520,00:02:00.040,00:02:03.600,00:02:06.120,00:02:08.040,00:02:11.640,00:02:13.000,00:02:15.160,00:02:18.360,00:02:18.960,00:02:19.560,00:02:20.160,00:02:26.240
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,323,00:00:12.920,12.920,323,00:00:12.920,12.920
2,323,00:00:12.920,12.920,543,00:00:21.720,21.720,220,00:00:08.800,8.800
3,543,00:00:21.720,21.720,698,00:00:27.920,27.920,155,00:00:06.200,6.200
4,698,00:00:27.920,27.920,796,00:00:31.840,31.840,98,00:00:03.920,3.920
5,796,00:00:31.840,31.840,869,00:00:34.760,34.760,73,00:00:02.920,2.920
6,869,00:00:34.760,34.760,926,00:00:37.040,37.040,57,00:00:02.280,2.280
7,926,00:00:37.040,37.040,989,00:00:39.560,39.560,63,00:00:02.520,2.520
8,989,00:00:39.560,39.560,1131,00:00:45.240,45.240,142,00:00:05.680,5.680
9,1131,00:00:45.240,45.240,1250,00:00:50.000,50.000,119,00:00:04.760,4.760
10,1250,00:00:50.000,50.000,1375,00:00:55.000,55.000,125,00:00:05.000,5.000
11,1375,00:00:55.000,55.000,1451,00:00:58.040,58.040,76,00:00:03.040,3.040
12,1451,00:00:58.040,58.040,1623,00:01:04.920,64.920,172,00:00:06.880,6.880
13,1623,00:01:04.920,64.920,1797,00:01:11.880,71.880,174,00:00:06.960,6.960
14,1797,00:01:11.880,71.880,1976,00:01:19.040,79.040,179,00:00:07.160,7.160
15,1976,00:01:19.040,79.040,2115,00:01:24.600,84.600,139,00:00:05.560,5.560
16,2115,00:01:24.600,84.600,2283,00:01:31.320,91.320,168,00:00:06.720,6.720
17,2283,00:01:31.320,91.320,2396,00:01:35.840,95.840,113,00:00:04.520,4.520
18,2396,00:01:35.840,95.840,2469,00:01:38.760,98.760,73,00:00:02.920,2.920
19,2469,00:01:38.760,98.760,2544,00:01:41.760,101.760,75,00:00:03.000,3.000
20,2544,00:01:41.760,101.760,2628,00:01:45.120,105.120,84,00:00:03.360,3.360
21,2628,00:01:45.120,105.120,2709,00:01:48.360,108.360,81,00:00:03.240,3.240
22,2709,00:01:48.360,108.360,2778,00:01:51.120,111.120,69,00:00:02.760,2.760
23,2778,00:01:51.120,111.120,2840,00:01:53.600,113.600,62,00:00:02.480,2.480
24,2840,00:01:53.600,113.600,2938,00:01:57.520,117.520,98,00:00:03.920,3.920
25,2938,00:01:57.520,117.520,3001,00:02:00.040,120.040,63,00:00:02.520,2.520
26,3001,00:02:00.040,120.040,3090,00:02:03.600,123.600,89,00:00:03.560,3.560
27,3090,00:02:03.600,123.600,3153,00:02:06.120,126.120,63,00:00:02.520,2.520
28,3153,00:02:06.120,126.120,3201,00:02:08.040,128.040,48,00:00:01.920,1.920
29,3201,00:02:08.040,128.040,3291,00:02:11.640,131.640,90,00:00:03.600,3.600
30,3291,00:02:11.640,131.640,3325,00:02:13.000,133.000,34,00:00:01.360,1.360
31,3325,00:02:13.000,133.000,3379,00:02:15.160,135.160,54,00:00:02.160,2.160
32,3379,00:02:15.160,135.160,3459,00:02:18.360,138.360,80,00:00:03.200,3.200
33,3459,00:02:18.360,138.360,3474,00:02:18.960,138.960,15,00:00:00.600,0.600
34,3474,00:02:18.960,138.960,3489,00:02:19.560,139.560,15,00:00:00.600,0.600
35,3489,00:02:19.560,139.560,3504,00:02:20.160,140.160,15,00:00:00.600,0.600
36,3504,00:02:20.160,140.160,3656,00:02:26.240,146.240,152,00:00:06.080,6.080
37,3656,00:02:26.240,146.240,4064,00:02:42.560,162.560,408,00:00:16.320,16.320
